name,mean_percentage_error,peter_data
Yangguan Sandie,0.39475874433568214,6.0
Ireland Old Style,2.0009062118627066,6.125
Happy Birthday,1.6460914186683815,5.75
'Sometimes behave so strangely',4.152802910544653,4.0
Vietnamese,5.843376278120039,3.75
American English,5.334031564730193,4.125
Kauai O' o,3.9626068921851205,5.125
Firecrest,0.8254891798928162,5.875
Canyon wren,6.749526798342988,5.875
