Entropy,Duration
6.18889159893308,0.052244898
5.07714066735307,0.243809524
5.12715748580767,0.226394557
4.96377435555879,0.098684807
5.39511694260618,0.081269841
5.8720716017925,0.075464852
5.17951882433793,0.0638548750000001
5.43496387261524,0.104489796
4.67065626361972,0.133514739
3.998435745056,0.168344671
5.44006955091432,0.179954648
6.3636374652263,0.0870748299999999
3.40304232435929,0.063854875
5.4040991327988,0.208979591
5.63717948548597,0.0986848069999999
3.35422485926113,0.075464852
5.47381434439411,0.197369614
4.05295721742106,0.081269841
4.23216289054021,0.0754648530000001
5.3763619761552,0.0464399089999999
