Entropy,Duration
5.44430050264691,1.375782313
4.74715177259923,0.139319728
6.50260589198344,0.563083901
5.82849396461617,0.208979592
6.22391033725934,0.267029479
4.87562427413914,0.644353742
5.41243845701988,0.081269842
5.17007233970031,0.278639456
5.50922578509122,0.243809524
5.1167243487314,0.238004535
5.11657671190842,0.185759638
4.82872262746905,0.179954649
5.21210027782821,0.185759638
6.30617034734296,0.116099774
5.7377492071953,0.127709751
5.20838322613661,0.150929706
3.90113630515184,0.179954649
6.72378686195202,0.232199547
