onset_t,isStress
0.294304171412301,0
1.2888493023918,0
1.73537976936219,0
2.26309759396355,0
3.09526800968109,0
3.4606111190205,0
3.8665479071754,0
4.11010998006834,0
6.05860656321185,0
6.40365283314351,0
6.68780858485194,0
8.00710314635535,0
8.25066521924829,0
8.59571148917995,0
8.71749252562642,0
8.87986724088838,0
9.91500605068337,0
11.1734100939636,0
11.5996437215262,0
12.006003345672,0
12.3912204584282,0
12.8377509253986,0
13.3248750711845,0
14.2788265233485,0
15.0095127420273,0
15.6996052818907,0
